country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LVA,1956,1,interm,1,57,278.0235,0,0.625659,1.712554,1.76521,3.750839,2.180865,2.467978,3.210673,3.155787,8.493748,12.52171,13.41406,12.64875,29.79455,37.66411,42.60548,42.64208,34.18687,25.18262,.,.,.,.,.,.
LVA,1956,1,interm,1,58,162.7021,0,0,0,0,0.013646,0.459442,0.955657,1.149643,1.131385,5.371006,7.958156,20.31864,19.16471,14.89366,18.85154,21.32478,21.35671,17.13348,12.61963,.,.,.,.,.,.
LVA,1956,1,interm,1,59,213.4127,0,0,0,0,0.006406,0.2157,0.448665,0.539738,0.531167,2.521599,3.736224,9.539269,8.997519,26.21285,33.17871,37.5316,37.58781,30.15493,22.21054,.,.,.,.,.,.
LVA,1956,1,interm,1,60,452.6642,0,0,0,0,0.011531,0.388261,0.807597,0.971529,0.9561,4.538878,6.725203,17.17068,16.19553,56.7945,71.88721,81.31847,81.44025,65.33567,48.12284,.,.,.,.,.,.
LVA,1956,1,interm,1,61,11.76765,0,0,0,0,0.000449,0.015099,0.031406,0.037781,0.037182,0.176512,0.261535,0.667749,0.629826,1.390075,1.759477,1.990312,1.993293,1.599124,1.177831,.,.,.,.,.,.
LVA,1956,1,interm,1,62,315.4887,0,0,0,0.122135,0.328109,0,0.438803,0.221159,0.217377,1.247579,1.839217,2.40662,2.26932,43.04596,54.4156,61.55466,61.60757,49.3918,36.38282,.,.,.,.,.,.
LVA,1956,1,interm,1,63,57.9823,0,0,0,0.144205,0.387402,0,0.795888,0.445105,0.431452,2.430101,3.478402,4.536353,4.265118,5.912546,7.328586,8.290059,8.214733,6.519767,4.80258,.,.,.,.,.,.
LVA,1956,1,interm,1,64,11.84074,3,0,0.547107,0.487925,0,1.031142,1.048344,0,0,0,0,0,0,0.804478,1.016963,1.150382,1.151371,0.923073,0.679952,.,.,.,.,.,.
LVA,1956,1,interm,1,65,322.5524,172.4223,32.32884,2.735536,3.008614,1.566408,0.036193,1.086085,0.546915,0.537567,3.436668,5.066427,8.967474,8.455859,11.57041,14.62648,16.5454,16.55962,13.27612,9.779415,.,.,.,.,.,.
LVA,1956,1,interm,1,66,10.87358,7.652022,1.370771,0,0,0.063054,0.016911,0.065313,0.008665,0.008517,0.044283,0.065284,0.321263,0.302932,0.134107,0.169529,0.191769,0.191934,0.153876,0.113348,.,.,.,.,.,.
LVA,1956,1,interm,1,67,58.14886,3.423,0.489,0,0,0,0.587751,0,0,0,0.242706,0.357803,2.150732,2.028028,6.865731,8.679163,9.817825,9.826262,7.87788,5.802975,.,.,.,.,.,.
LVA,1956,1,interm,1,68,78.39601,3.078,0.701531,0,0,0.119802,0.168406,0.350105,0.110414,0.102818,1.083604,1.507798,4.955858,4.673112,8.362354,10.57108,11.73861,11.71357,11.07714,8.081812,.,.,.,.,.,.
LVA,1956,1,interm,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,70,1.73707,0,0,0,0,0,0.00523,0.005317,0.2517,0.251349,0.070192,0.103478,0.334925,0.126326,0.14726,0.093077,0.105289,0.10538,0.079204,0.058343,.,.,.,.,.,.
LVA,1956,1,interm,1,71,242.3547,2.418936,0.099839,0,0,0.01705,1.250574,0.813737,0.61669,0.594732,4.382429,6.550374,23.18334,22.05017,25.36622,32.5005,36.90129,36.96812,27.96411,20.67662,.,.,.,.,.,.
LVA,1956,1,interm,1,72,46.20485,11.78506,2.053983,0,0,0.350765,0.58497,0.363206,0.299745,0.307792,0.588856,0.868104,5.790811,5.460432,2.688292,3.057059,3.540607,3.54365,2.833966,2.087545,.,.,.,.,.,.
LVA,1956,1,interm,1,73,89.62443,0.96128,0.19849,0.395239,0,0.202041,2.242849,1.259802,2.850937,2.8022,3.1904,4.703372,11.21573,10.57584,8.056716,8.465391,9.576013,9.584239,7.683845,5.660047,.,.,.,.,.,.
LVA,1956,1,interm,1,74,20.47512,0.36048,0.074434,0.148215,0,0.075765,0.148682,0.075581,0.11428,0.112326,0.122793,0.181026,1.049273,0.989409,0.777194,3.356784,3.797178,3.80044,3.046876,2.24438,.,.,.,.,.,.
LVA,1956,1,interm,1,75,117.9594,44.59378,4.499413,2.394911,0,0.477508,0.982632,1.428186,0.597676,0.58746,0.99453,1.46616,6.436988,6.069743,7.110263,8.333097,9.424077,9.431437,7.561456,5.570113,.,.,.,.,.,.
LVA,1956,1,interm,1,76,0.7770321,0,0,0,0,0.070305,0.068983,0.140268,0.070695,0.069488,0.028486,0.041995,0.108184,0.102011,0.010764,0.013607,0.015392,0.015406,0.01235,0.009098,.,.,.,.,.,.
