country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
EST,1955,1,interm,1,75,79.37031,22.44371,3.506922,1.074284,0.076431,0,0.141371,1.718478,1.558219,1.149612,2.456252,4.600937,4.407559,4.800257,5.504786,6.184811,6.546838,6.278704,4.285352,2.635795,.,.,.,.,.,.
EST,1955,1,interm,1,76,9.378271,0,0.457675,0,0,0,0,0,0.590519,0.471534,0.878806,1.531173,1.052099,1.14545,0.546043,0.63861,0.676008,0.648894,0.459087,0.282372,.,.,.,.,.,.
EST,1955,1,interm,1,77,13.49891,0,0.518444,0,0,0,0,0,0.578878,0.462238,0.965456,1.682146,1.031357,1.12287,1.198824,1.402049,1.484159,1.42463,1.007917,0.61994,.,.,.,.,.,.
EST,1955,1,interm,1,78,0.958247,0,0.034873,0,0,0,0,0,0.038938,0.031092,0.06494,0.113148,0.069374,0.075529,0.089079,0.104179,0.11028,0.105857,0.074893,0.046065,.,.,.,.,.,.
EST,1955,1,interm,1,79,9.743766,0,0.05321,0,0,1.058091,0,1.0496,0.059413,0.047441,0.495443,0.863229,1.164379,1.267693,0.61898,0.723912,0.766307,0.735569,0.520409,0.32009,.,.,.,.,.,.
EST,1955,1,interm,1,80,32.81879,3.856526,0.654573,0,0,0,0.097436,1.282097,0.725732,0.579502,1.004978,1.751007,2.703555,2.943439,2.892279,3.382578,3.580679,3.437057,2.431693,1.495664,.,.,.,.,.,.
EST,1955,1,interm,1,81,10.29749,1.636507,0.250456,0.001048,0.00156,0,0.012194,0.350006,0.197944,0.156129,0.267219,0.472143,0.727919,0.792541,0.942629,1.068027,1.130574,1.085111,0.746394,0.459085,.,.,.,.,.,.
EST,1955,1,interm,1,82,0.991923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235056,0.178686,0.189152,0.181565,0.128455,0.079009,.,.,.,.,.,.
EST,1955,1,interm,1,83,122.8576,0.648188,0.175167,0.034167,0,0.176702,0.386881,1.36511,0.317502,0.253526,0.489815,0.853422,3.108043,3.383818,18.68695,21.95099,23.23654,22.30451,15.78028,9.705998,.,.,.,.,.,.
EST,1955,1,interm,1,84,60.65659,0,0,0,0,1.77286,1.617987,2.537687,1.567244,1.251456,2.6082,4.54435,5.817959,6.334185,5.476309,6.404655,6.779744,6.507804,4.604224,2.831925,.,.,.,.,.,.
EST,1955,1,interm,1,85,6.239112,0,0,0,0,0.343322,0.147703,0.271862,0.215136,0.171787,0.306422,0.533889,0.720321,0.784235,0.460958,0.5391,0.570673,0.547782,0.387552,0.238371,.,.,.,.,.,.
EST,1955,1,interm,1,86,7.565603,0,0,0,0,0,0.340358,0.339252,0,0,0.256219,0.446419,0.342137,0.372493,0.918532,1.074242,1.137155,1.091543,0.772259,0.474994,.,.,.,.,.,.
EST,1955,1,interm,1,87,28.32458,0,0,0,0,0,0,0,0,0,0,0,0,0,4.757423,5.563904,5.889754,5.653512,3.999819,2.460173,.,.,.,.,.,.
EST,1955,1,interm,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
